"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X1","X2","X3","X4","X5","X6","X7","X8"
"X1",0,0,0,0,0,0,0,0,0.9895,0,0,0,0,0,0,0
"X2",0,0,0,0,0,0,0,0,0,0.7935,0,0,0,0,0,0
"X3",0,0,0,0,0,0,0,0,0,0,0.772,0,0,0,0,0
"X4",0,0,0,0,0,0,0,0,0,0,0,0.7986,0,0,0,0
"X5",0,0,0,0,0,0,0,0,0,0,0,0,0.7657,0,0,0
"X6",0,0,0,0,0,0,0,0,0,0,0,0,0,0.7549,0,0
"X7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6727,0
"X8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6318
