"","X1lag","X2lag","X3lag","X4lag","X1","X2","X3","X4"
"X1",0,0,0,0,0.3059,0,0,0
"X2",0,0,0,0,0,0.1604,0,0
"X3",0,0,0,0,0,0,0.09,0
"X4",0,0,0,0,0,0,0,0.1357
