"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X1","X2","X3","X4","X5","X6","X7","X8"
"X1",0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2",0.0576,0.0553,0,0,0,0,0,0,0.0542,0,0,0,0,0,0,0
"X3",0,0.0536,0.0523,0,0,0,0,0,0,0.0482,0,0,0,0,0,0
"X4",0,0,0,0.0501,0,0,0,0,0,0,0.0501,0,0,0,0,0
"X5",0,0,0.0578,0.0584,0.0519,0,0,0,0,0,0,0.0517,0,0,0,0
"X6",0,0,0,0,0,0.0505,0,0,0,0,0,0,0.0506,0,0,0
"X7",0,0,0,0,0.0503,0.0558,0.0512,0,0,0,0,0,0,0.0504,0,0
"X8",0,0,0,0,0,0.055,0.053,0.0493,0,0,0,0,0,0,0.0521,0
