"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X1","X2","X3","X4","X5","X6","X7","X8"
"X1",0.0913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2",0,0.3198,0,0,0,0,0,0,0.3286,0,0,0,0,0,0,0
"X3",0,0.2119,0.0676,0,0,0,0,0,0,0.3679,0,0,0,0,0,0
"X4",0,0,0.2257,0.1294,0,0,0,0,0,0,0.3044,0,0,0,0,0
"X5",0,0,0.2237,0.2297,0.1649,0,0,0,0,0,0,0.2508,0,0,0,0
"X6",0,0,0,0.3158,0,0.2116,0,0,0,0,0,0,0.334,0,0,0
"X7",0,0,0,0,0,0.3421,0.1847,0,0,0,0,0,0,0.3214,0,0
"X8",0,0,0,0,0,0,0.1794,0.227,0,0,0,0,0,0,0.4524,0
