"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X1","X2","X3","X4","X5","X6","X7","X8"
"X1",0.0576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2",0.0528,0.0529,0,0,0,0,0,0,0.0505,0,0,0,0,0,0,0
"X3",0,0.0559,0.0529,0,0,0,0,0,0,0.0529,0,0,0,0,0,0
"X4",0,0,0,0.0521,0,0,0,0,0,0,0.0521,0,0,0,0,0
"X5",0,0,0,0.0533,0.0528,0,0,0,0,0,0,0.0506,0,0,0,0
"X6",0,0,0,0.056,0,0.0505,0,0,0,0,0,0,0.0558,0,0,0
"X7",0,0,0,0,0,0.0537,0.0525,0,0,0,0,0,0,0.0509,0,0
"X8",0,0,0,0,0,0,0.0536,0.0528,0,0,0,0,0,0,0.0492,0
