"","X1lag","X2lag","X3lag","X4lag","X1","X2","X3","X4"
"X1",0.0489,0,0,0,0,0,0,0
"X2",0,0.0457,0,0,0.0652,0,0,0
"X3",0,0,0.0503,0,0,0.0444,0,0.0467
"X4",0,0,0,0.046,0.069,0,0,0
