"","X1lag","X2lag","X3lag","X4lag","X1","X2","X3","X4"
"X1",0.0458,0,0,0,0,0,0,0
"X2",0,0.042,0,0,0.0511,0,0,0
"X3",0,0,0.0468,0,0,0.0447,0,0.0449
"X4",0,0,0,0.0408,0.0536,0,0,0
