"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X1","X2","X3","X4","X5","X6","X7","X8"
"X1",0.0574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2",0.0532,0.0541,0,0,0,0,0,0,0.0511,0,0,0,0,0,0,0
"X3",0,0.0569,0.0549,0,0,0,0,0,0,0.0508,0,0,0,0,0,0
"X4",0,0,0,0.053,0,0,0,0,0,0,0.053,0,0,0,0,0
"X5",0,0,0,0.0543,0.0552,0,0,0,0,0,0,0.0504,0,0,0,0
"X6",0,0,0,0.0543,0,0.0509,0,0,0,0,0,0,0.0541,0,0,0
"X7",0,0,0,0,0,0.054,0.0518,0,0,0,0,0,0,0.0505,0,0
"X8",0,0,0,0,0,0,0.0541,0.0509,0,0,0,0,0,0,0.0498,0
