"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X1","X2","X3","X4","X5","X6","X7","X8"
"X1",0.2199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2",0,0.3479,0,0,0,0,0.2851,0,0.2625,0,0,0,0,0,0,0
"X3",0,0.2596,0.0889,0,0,0,0,0,0,0.3544,0,0,0,0,0,0
"X4",0,0,0.1709,0.2891,0,0,0,0,0,0,0.314,0,0,0,0,0
"X5",0,0,0,0.3071,0.1762,0,0,0,0,0,0,0.3412,0,0,0,0
"X6",0,0,0,0.3311,0,0.2387,0,0,0,0,0,0,0.2643,0,0,0
"X7",0,0,0,0,0,0.2283,0.1856,0,0,0,0,0,0,0.4043,0,0
"X8",0,0,0,0,0,0,0.3302,0.1557,0,0,0,0,0,0,0.3162,0
