"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X1","X2","X3","X4","X5","X6","X7","X8"
"X1",0.1831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2",0,0.2737,0,0,0,0,0,0,0.3298,0,0,0,0,0,0,0
"X3",0,0.2492,0.1488,0,0,0,0,0,0,0.3027,0,0,0,0,0,0
"X4",0,0,0.2504,0.1274,0,0,0,0,0,0,0.2504,0,0,0,0,0
"X5",0,0,0.2319,0.2421,0.1738,0,0,0,0,0,0,0.222,0,0,0,0
"X6",0,0,0,0,0.1959,0.2263,0,0,0,0,0,0,0.3941,0,0,0
"X7",0,0,0,0,0,0.3032,0.1681,0,0,0,0,0,0,0.2985,0,0
"X8",0,0,0,0,0,0,0.2777,0.1729,0,0,0,0,0,0,0.196,0
