"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X1","X2","X3","X4","X5","X6","X7","X8"
"X1",0.0564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2",0,0.0507,0,0,0,0,0,0,0.0507,0,0,0,0,0,0,0
"X3",0,0.0582,0.0558,0,0,0,0,0,0,0.0541,0,0,0,0,0,0
"X4",0,0,0.0558,0.0554,0,0,0,0,0,0,0.0517,0,0,0,0,0
"X5",0,0,0,0.0524,0.0506,0,0,0,0,0,0,0.0485,0,0,0,0
"X6",0,0,0,0.0467,0,0.0447,0,0,0,0,0,0,0.0483,0,0,0
"X7",0,0,0,0,0,0.053,0.0493,0,0,0,0,0,0,0.045,0,0
"X8",0,0,0,0,0,0,0.0628,0.053,0,0,0,0,0,0,0.061,0
