"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X1","X2","X3","X4","X5","X6","X7","X8"
"X1",0.0578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2",0.0526,0.0528,0,0,0,0,0,0,0.0503,0,0,0,0,0,0,0
"X3",0,0.0556,0.0532,0,0,0,0,0,0,0.0516,0,0,0,0,0,0
"X4",0,0,0,0.049,0,0,0,0,0,0,0.0491,0,0,0,0,0
"X5",0,0,0,0.0545,0.053,0,0,0,0,0,0,0.0519,0,0,0,0
"X6",0,0,0,0,0,0.0541,0,0,0,0,0,0,0.0541,0,0,0
"X7",0,0,0,0,0.0509,0.0534,0.0509,0,0,0,0,0,0,0.0482,0,0
"X8",0,0,0,0,0,0,0.0522,0.0514,0,0,0,0,0,0,0.0484,0
