"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X1","X2","X3","X4","X5","X6","X7","X8"
"X1",0.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2",0.0566,0.0549,0,0,0,0,0,0,0.0547,0,0,0,0,0,0,0
"X3",0,0.0548,0.0538,0,0,0,0,0,0,0.0505,0,0,0,0,0,0
"X4",0,0,0,0.0517,0,0,0,0,0,0,0.0515,0,0,0,0,0
"X5",0,0,0,0.0528,0.0524,0,0,0,0,0,0,0.0507,0,0,0,0
"X6",0,0,0,0.0544,0,0.0509,0,0,0,0,0,0,0.0554,0,0,0
"X7",0,0,0,0,0,0.0547,0.053,0,0,0,0,0,0,0.0517,0,0
"X8",0,0,0,0,0,0.054,0.0553,0.052,0,0,0,0,0,0,0.0521,0
