"","X1lag","X2lag","X3lag","X4lag","X1","X2","X3","X4"
"X1",0.6721,0,0,0,0,0,0,0
"X2",0,0.5382,0,0,0.347,0,0,0
"X3",0,0,0.353,0,0,0.3063,0,0.351
"X4",0,0,0,0.6363,0.3278,0,0,0
