"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X1","X2","X3","X4","X5","X6","X7","X8"
"X1",0.1481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2",0,0.2268,0,0,0,0,0,0,0.3402,0,0,0,0,0,0,0
"X3",0,0.3424,0.0515,0,0,0,0,0,0,0.3019,0,0,0,0,0,0
"X4",0,0,0.1863,0.2047,0,0,0,0,0,0,0.2726,0,0,0,0,0
"X5",0,0,0,0.2586,0.1967,0,0,0,0,0,0,0.3213,0,0,0,0
"X6",0,0,0,0,0,0.3623,0,0,0,0,0,0,0.4413,0,0,0
"X7",0,0,0,0,0,0.203,0.2277,0,0,0,0,0,0,0.4136,0,0
"X8",0,0,0,0,0,0,0.1443,0.2133,0,0,0,0,0,0,0.414,0
