"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X1","X2","X3","X4","X5","X6","X7","X8"
"X1",0.0883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2",0.2582,0.1507,0,0,0,0,0,0,0.3011,0,0,0,0,0,0,0
"X3",0.1977,0.3221,0.0826,0,0,0,0,0,0,0.2309,0,0,0,0,0,0
"X4",0,0,0,0.0282,0,0,0,0,0,0,0.3588,0,0,0,0,0
"X5",0,0,0,0.2872,0.0838,0,0,0,0,0,0,0.231,0,0,0,0
"X6",0,0,0,0,0.2492,0.1417,0,0,0,0,0,0,0.3292,0,0,0
"X7",0,0,0,0,0,0.3074,0.0959,0,0,0,0,0,0,0.2689,0,0
"X8",0,0,0,0,0,0.1987,0.2369,0.1002,0,0,0,0,0,0,0.3449,0
