"","X1lag","X2lag","X3lag","X4lag","X1","X2","X3","X4"
"X1",0.0493,0,0,0,0,0,0,0
"X2",0,0.0447,0,0,0.0567,0,0,0
"X3",0,0,0.0543,0,0,0.0491,0,0.0539
"X4",0,0,0,0.0418,0.0531,0,0,0
