"","X1lag","X2lag","X3lag","X4lag","X1","X2","X3","X4"
"X1",0.0663,0,0.0449,0,0,0,0,0
"X2",0,0.0444,0,0,0.0526,0,0,0
"X3",0,0,0.0492,0,0,0.0502,0,0.0533
"X4",0,0,0,0.0476,0.0632,0,0,0
