"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X1","X2","X3","X4","X5","X6","X7","X8"
"X1",0.0565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2",0,0.0521,0,0,0,0,0,0,0.052,0,0,0,0,0,0,0
"X3",0,0.0574,0.055,0,0,0,0,0,0,0.0554,0,0,0,0,0,0
"X4",0,0,0.0548,0.0538,0,0,0,0,0,0,0.0495,0,0,0,0,0
"X5",0,0,0,0.0498,0.0493,0,0,0,0,0,0,0.0444,0,0,0,0
"X6",0,0,0,0,0.0581,0.0527,0,0,0,0,0,0,0.0488,0,0,0
"X7",0,0,0,0,0,0.0567,0.0531,0,0,0,0,0,0,0.0513,0,0
"X8",0,0,0,0,0,0,0.054,0.0508,0,0,0,0,0,0,0.0472,0
