"","X1lag","X2lag","X3lag","X4lag","X1","X2","X3","X4"
"X1",0.058,0,0,0,0,0,0.0528,0
"X2",0.0796,0.0511,0,0,0.0718,0,0,0
"X3",0,0,0.0499,0,0,0.0418,0,0.0494
"X4",0,0,0,0.0516,0.0688,0,0,0
