"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X1","X2","X3","X4","X5","X6","X7","X8"
"X1",0.0575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2",0.0535,0.0531,0,0,0,0,0,0,0.0511,0,0,0,0,0,0,0
"X3",0,0.0545,0.0526,0,0,0,0,0,0,0.0511,0,0,0,0,0,0
"X4",0,0,0,0.0517,0,0,0,0,0,0,0.0516,0,0,0,0,0
"X5",0,0,0,0.0522,0.0513,0,0,0,0,0,0,0.0496,0,0,0,0
"X6",0,0,0,0,0,0.0511,0,0,0,0,0,0,0.0512,0,0,0
"X7",0,0,0,0,0,0.0522,0.051,0,0,0,0,0,0,0.0475,0,0
"X8",0,0,0,0,0,0,0.0542,0.0514,0,0,0,0,0,0,0.0489,0
