"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X1","X2","X3","X4","X5","X6","X7","X8"
"X1",0.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2",0.0543,0.0538,0,0,0,0,0,0,0.0523,0,0,0,0,0,0,0
"X3",0,0.0557,0.0552,0,0,0,0,0,0,0.0524,0,0,0,0,0,0
"X4",0,0,0.0566,0.0546,0,0,0,0,0,0,0.051,0,0,0,0,0
"X5",0,0,0,0.0537,0.0525,0,0,0,0,0,0,0.0496,0,0,0,0
"X6",0,0,0,0,0,0.0493,0,0,0,0,0,0,0.0489,0,0,0
"X7",0,0,0,0,0,0.0534,0.051,0,0,0,0,0,0,0.0462,0,0
"X8",0,0,0,0,0,0,0.0554,0.0522,0,0,0,0,0,0,0.0479,0
