"","X1lag","X2lag","X3lag","X4lag","X1","X2","X3","X4"
"X1",0.0592,0,0.0352,0,0,0,0,0
"X2",0,0.0452,0,0,0.0552,0,0,0
"X3",0,0,0.041,0,0,0.0501,0,0.0481
"X4",0,0,0,0.0401,0.0624,0,0,0
