"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X1","X2","X3","X4","X5","X6","X7","X8"
"X1",0.2102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2",0,0.1338,0,0,0,0,0,0,0.4291,0,0,0,0,0,0,0
"X3",0,0.2925,0.151,0,0,0,0,0,0,0.2979,0,0,0,0,0,0
"X4",0,0,0.1835,0.1641,0,0,0,0,0,0,0.3036,0,0,0,0,0
"X5",0,0,0,0.0944,0.3232,0,0,0,0,0,0,0.3576,0,0,0,0
"X6",0,0,0,0,0,0.2033,0,0,0,0,0,0,0.432,0,0,0
"X7",0,0,0,0,0,0.4352,0.086,0,0,0,0,0,0,0.3299,0,0
"X8",0,0,0,0.1996,0,0,0.3186,0.1662,0,0,0,0,0,0,0.3039,0
