"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X1","X2","X3","X4","X5","X6","X7","X8"
"X1",0.1297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2",0,0.2036,0,0,0,0,0,0,0.2995,0,0,0,0,0,0,0
"X3",0,0.3475,0.0945,0,0,0,0,0,0,0.3086,0,0,0,0,0,0
"X4",0,0,0.2784,0.1409,0,0,0,0,0,0,0.2876,0,0,0,0,0
"X5",0,0,0,0.3736,0.2165,0,0,0,0,0,0,0.2884,0,0,0,0
"X6",0,0,0,0,0.2954,0.0975,0,0,0,0,0,0,0.4167,0,0,0
"X7",0,0,0,0,0,0.2169,0.2468,0,0,0,0,0,0,0.4077,0,0
"X8",0,0,0,0,0,0,0.3741,0.094,0,0,0,0,0,0,0.4005,0
