"","X1lag","X2lag","X3lag","X4lag","X1","X2","X3","X4"
"X1",0.0474,0,0,0,0,0,0,0
"X2",0,0.0424,0,0,0.0544,0,0,0
"X3",0,0,0.0454,0,0,0.0485,0,0.0479
"X4",0,0,0,0.0394,0.0624,0,0,0
