"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X1","X2","X3","X4","X5","X6","X7","X8"
"X1",0.0601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2",0,0.2616,0,0,0,0,0,0,0.2313,0,0,0,0,0,0,0
"X3",0,0.2109,0.071,0,0,0,0,0,0,0.4067,0,0,0,0,0,0
"X4",0,0,0.3596,0.0638,0,0,0,0,0,0,0.3883,0,0,0,0,0
"X5",0,0,0.2525,0.1613,0.1691,0,0,0,0,0,0,0.3261,0,0,0,0
"X6",0,0,0,0.2777,0,0.259,0,0,0,0,0,0,0.361,0,0,0
"X7",0,0,0,0,0,0.3531,0.2065,0,0,0,0,0,0,0.3572,0,0
"X8",0,0,0,0,0,0,0.282,0.1101,0,0,0,0,0,0,0.4232,0
