"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X1","X2","X3","X4","X5","X6","X7","X8"
"X1",0.0933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2",0.1979,0.23,0,0,0,0,0,0,0.2699,0,0,0,0,0,0,0
"X3",0,0.268,0.1156,0,0,0,0,0,0,0.3185,0,0,0,0,0,0
"X4",0,0,0,0.1514,0,0,0,0,0,0,0.33,0,0,0,0,0
"X5",0,0,0,0.282,0.2249,0,0,0,0,0,0,0.2001,0,0,0,0
"X6",0,0,0,0,0,0.1605,0,0,0,0,0,0,0.2526,0,0,0
"X7",0,0,0,0,0,0.3418,0.0742,0,0,0,0,0,0,0.1825,0,0
"X8",0,0,0,0,0,0,0.2887,0.2528,0,0,0,0,0,0,0.2609,0
