"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X1","X2","X3","X4","X5","X6","X7","X8"
"X1",0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2",0.3563,0.0779,0,0,0,0,0,0,0.1912,0,0,0,0,0,0,0
"X3",0,0.2567,0.2001,0,0,0,0,0,0,0.2746,0,0,0,0,0,0
"X4",0,0,0,0.28,0,0,0,0,0,0,0.3811,0,0,0,0,0
"X5",0,0,0,0.3116,0.1369,0,0,0,0,0,0,0.2523,0,0,0,0
"X6",0,0,0,0.2143,0,0.2452,0,0,0,0,0,0,0.2481,0,0,0
"X7",0,0,0,0,0,0.4098,0.1498,0,0,0,0,0,0,0.2887,0,0
"X8",0,0,0,0,0,0.2102,0.2283,0.1957,0,0,0,0,0,0,0.2345,0
