"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X1","X2","X3","X4","X5","X6","X7","X8"
"X1",0.0721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2",0.3032,0.1092,0,0,0,0,0,0,0.3613,0,0,0,0,0,0,0
"X3",0.196,0.2538,0.1114,0,0,0,0,0,0,0.2955,0,0,0,0,0,0
"X4",0,0,0,0.2086,0,0,0,0,0,0,0.4539,0,0,0,0,0
"X5",0,0,0.2532,0.2553,0.1129,0,0,0,0,0,0,0.2554,0,0,0,0
"X6",0,0,0,0.3144,0,0.1396,0,0,0,0,0,0,0.0755,0,0,0
"X7",0,0,0,0,0.2241,0.3338,0.0605,0,0,0,0,0,0,0.0995,0,0
"X8",0,0,0,0,0,0.1942,0.264,0.1817,0,0,0,0,0,0,0.2246,0
