"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X1","X2","X3","X4","X5","X6","X7","X8"
"X1",0.0581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2",0.0537,0.0534,0,0,0,0,0,0,0.0527,0,0,0,0,0,0,0
"X3",0,0.0536,0.0532,0,0,0,0,0,0,0.0483,0,0,0,0,0,0
"X4",0,0,0,0.0511,0,0,0,0,0,0,0.0511,0,0,0,0,0
"X5",0,0,0,0.0559,0.0538,0,0,0,0,0,0,0.0523,0,0,0,0
"X6",0,0,0,0.0568,0,0.0516,0,0,0,0,0,0,0.0561,0,0,0
"X7",0,0,0,0,0.0527,0.0555,0.0535,0,0,0,0,0,0,0.0502,0,0
"X8",0,0,0,0,0,0,0.0498,0.0486,0,0,0,0,0,0,0.0459,0
