"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X1","X2","X3","X4","X5","X6","X7","X8"
"X1",0.0572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2",0.0552,0.0547,0,0,0,0,0,0,0.0534,0,0,0,0,0,0,0
"X3",0,0.0567,0.0547,0,0,0,0,0,0,0.0513,0,0,0,0,0,0
"X4",0,0,0,0.051,0,0,0,0,0,0,0.0511,0,0,0,0,0
"X5",0,0,0.0545,0.0562,0.0518,0,0,0,0,0,0,0.0503,0,0,0,0
"X6",0,0,0,0.0561,0,0.0509,0,0,0,0,0,0,0.0556,0,0,0
"X7",0,0,0,0,0.0529,0.0542,0.0507,0,0,0,0,0,0,0.0488,0,0
"X8",0,0,0,0,0,0,0.0525,0.0515,0,0,0,0,0,0,0.0475,0
