"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X1","X2","X3","X4","X5","X6","X7","X8"
"X1",0.1571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2",0.2137,0.213,0,0,0,0,0,0,0.2532,0,0,0,0,0,0,0
"X3",0,0.241,0.1578,0,0,0,0,0,0,0.3359,0,0,0,0,0,0
"X4",0,0,0,0.0605,0,0,0,0,0,0,0.4903,0,0,0,0,0
"X5",0,0,0,0.3223,0.0269,0,0,0,0,0,0,0.2068,0,0,0,0
"X6",0,0,0,0.302,0,0.1673,0,0,0,0,0,0,0.2629,0,0,0
"X7",0,0,0,0,0.298,0.4157,0.3078,0,0,0,0,0,0,0.2786,0,-0.5739
"X8",0,0,0,0,0,0,0.0943,0.2208,0,0,0,0,0,0,0.7048,0
