"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X1","X2","X3","X4","X5","X6","X7","X8"
"X1",0.2126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2",0,0.2002,0,0,0,0,0.2435,0,0.2957,0,0,0,0,0,0,0
"X3",0,0.2595,0.1479,0,0,0.234,0,0,0,0.1877,0,0,0,0,0,0
"X4",0,0,0.1835,0.2602,0,0,0,0,0,0,0.3044,0,0,0,0,0
"X5",0,0,0,0.2975,0.2512,0,0,0,0,0,0,0.2406,0,0,0,0
"X6",0,0,0,0,0,0.3253,0,0,0,0,0,0,0.4456,0,0,0
"X7",0,0,0,0,0,0.38,0.1639,0,0,0,0,0,0,0.2917,0,0
"X8",0,0,0,0,0,0,0.301,0.199,0,0,0,0,0,0,0.3817,0
