"","X1lag","X2lag","X3lag","X4lag","X1","X2","X3","X4"
"X1",0.0442,0,0,0,0,0,0.0384,0
"X2",0,0.039,0,0,0.0498,0,0,0
"X3",0,0,0.0489,0,0,0.0433,0,0.0608
"X4",0,0,0,0.0432,0.053,0,0,0
