"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X1","X2","X3","X4","X5","X6","X7","X8"
"X1",0.1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2",0.2276,0.2208,0,0,0,0,0,0,0.2548,0,0,0,0,0,0,0
"X3",0.2345,0.1626,0.1406,0,0,0,0,0,0,0.2657,0,0,0,0,0,0
"X4",0,0,0,0.1938,0,0,0,0,0,0,0.458,0,0,0,0,0
"X5",0,0,0,0.4341,0.0784,0,0,0,0,0,0,0.1824,0,0,0,0
"X6",0,0,0,0,0,0.2034,0,0,0,0,0,0,0.3159,0,0,0
"X7",0,0,0,0,0,0.3858,0.1372,0,0,0,0,0,0,0.2551,0,0
"X8",0,0,0,0,0,0,0.3743,0.2019,0,0,0,0,0,0,0.2825,0
