"X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X1","X2","X3","X4","X5","X6","X7","X8"
100,1,1,2,0,1,1,1,0,0,0,0,0,0,0,0
40,100,0,2,0,1,3,0,100,0,0,0,0,0,0,0
2,100,100,0,0,3,3,1,1,100,0,1,0,0,0,0
0,0,100,100,2,0,1,1,0,0,100,0,1,1,0,0
0,0,19,100,100,0,1,1,0,0,0,100,0,1,0,0
0,1,0,26,52,100,0,1,0,0,0,1,100,0,0,0
1,0,0,1,3,100,100,0,0,0,0,0,1,100,0,1
0,0,1,1,1,3,100,100,0,0,0,0,1,0,100,0
